region,year,month,rainfall_mm
ARUNACHAL PRADESH,1938,9,15.555870056152344
ARUNACHAL PRADESH,1938,10,15.741327285766602
ARUNACHAL PRADESH,1938,11,14.487163543701172
ARUNACHAL PRADESH,1938,12,10.01269817352295
ARUNACHAL PRADESH,1939,1,8.800405502319336
ARUNACHAL PRADESH,1939,2,10.144137382507324
ARUNACHAL PRADESH,1939,3,10.686623573303223
ARUNACHAL PRADESH,1939,4,7.91286563873291
ARUNACHAL PRADESH,1939,5,7.811816692352295
ARUNACHAL PRADESH,1939,6,8.365387916564941
ARUNACHAL PRADESH,1939,7,12.99945068359375
ARUNACHAL PRADESH,1939,8,10.691646575927734
ARUNACHAL PRADESH,1939,9,8.194433212280273
ARUNACHAL PRADESH,1939,10,5.964546203613281
ARUNACHAL PRADESH,1939,11,14.09984016418457
ARUNACHAL PRADESH,1939,12,11.52288818359375
ARUNACHAL PRADESH,1940,1,7.815098762512207
ARUNACHAL PRADESH,1940,2,8.187206268310547
ARUNACHAL PRADESH,1940,3,6.323095798492432
ARUNACHAL PRADESH,1940,4,8.269539833068848
ARUNACHAL PRADESH,1940,5,8.355306625366211
ARUNACHAL PRADESH,1940,6,8.650534629821777
ARUNACHAL PRADESH,1940,7,12.50975227355957
ARUNACHAL PRADESH,1940,8,13.506949424743652
ARUNACHAL PRADESH,1940,9,13.568357467651367
ARUNACHAL PRADESH,1940,10,11.619050979614258
ARUNACHAL PRADESH,1940,11,6.789116859436035
ARUNACHAL PRADESH,1940,12,7.886119842529297
ARUNACHAL PRADESH,1941,1,13.51517391204834
ARUNACHAL PRADESH,1941,2,9.684407234191895
ARUNACHAL PRADESH,1941,3,10.0017671585083
ARUNACHAL PRADESH,1941,4,11.700222969055176
ARUNACHAL PRADESH,1941,5,10.7754487991333
ARUNACHAL PRADESH,1941,6,11.427258491516113
ARUNACHAL PRADESH,1941,7,9.308235168457031
ARUNACHAL PRADESH,1941,8,9.050183296203613
ARUNACHAL PRADESH,1941,9,6.073512554168701
ARUNACHAL PRADESH,1941,10,8.236250877380371
ARUNACHAL PRADESH,1941,11,10.689189910888672
ARUNACHAL PRADESH,1941,12,7.083905220031738
ARUNACHAL PRADESH,1942,1,6.433895111083984
ARUNACHAL PRADESH,1942,2,6.560232639312744
ARUNACHAL PRADESH,1942,3,8.140914916992188
ARUNACHAL PRADESH,1942,4,10.539816856384277
ARUNACHAL PRADESH,1942,5,9.47977352142334
ARUNACHAL PRADESH,1942,6,11.664205551147461
ARUNACHAL PRADESH,1942,7,8.981666564941406
ARUNACHAL PRADESH,1942,8,12.481365203857422
ARUNACHAL PRADESH,1942,9,9.418999671936035
ARUNACHAL PRADESH,1942,10,9.024641990661621
ARUNACHAL PRADESH,1942,11,7.32114315032959
ARUNACHAL PRADESH,1942,12,7.22383975982666
ARUNACHAL PRADESH,1943,1,8.000040054321289
ARUNACHAL PRADESH,1943,2,11.86671257019043
ARUNACHAL PRADESH,1943,3,12.790547370910645
ARUNACHAL PRADESH,1943,4,12.88383960723877
ARUNACHAL PRADESH,1943,5,8.730413436889648
